Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
얍얍 (yapyap30),596212905,108825,27007,5478,314643,31889,18155337,TRUE,FALSE,Korean
goncho,594230265,91845,36494,6469,888193,525596,19731854,TRUE,TRUE,Spanish
Anton,593921190,89520,157153,6634,261404,100331,4490397,TRUE,TRUE,English
fuslie,592006395,83625,45247,7079,955570,655883,26352343,TRUE,FALSE,English
Klean,591995970,178590,101124,3314,342011,118399,8424121,TRUE,TRUE,English
MckyTV,590759415,129960,45876,4545,959210,342395,17699883,TRUE,FALSE,German
scump,586808700,61455,79976,9548,1106226,261829,10227385,TRUE,FALSE,English
limit_maximum,586040775,97215,156649,6028,270090,111569,11446514,TRUE,FALSE,English
Llobeti4,582531105,86700,33673,6718,1306228,864132,21586659,TRUE,FALSE,Spanish
接接 (godjj),581514690,123210,11263,4719,350541,21157,19352250,TRUE,FALSE,Chinese
boxbox,578726100,143970,74768,4019,1876245,201102,14719244,TRUE,FALSE,English
Etoiles,575524365,129405,220035,4447,455570,278294,20905669,TRUE,FALSE,French
SkyrrozTV,572709345,117570,69964,4871,859428,316815,12131508,TRUE,FALSE,French
쌍베 (pacific8815),571164150,110415,31421,5172,201894,47916,19853658,TRUE,FALSE,Korean
melharucos,570120945,136875,14273,4165,354816,42911,17346809,TRUE,TRUE,Russian
Zizaran,569973195,178260,30289,3197,317296,-40696,13361038,TRUE,FALSE,English
elxokas,569653980,102960,60230,5532,850898,795829,20898250,TRUE,FALSE,Spanish
嬌兔 (zrush),568160775,143550,12106,3957,206770,38337,16752151,TRUE,TRUE,Chinese
DarioMocciaTwitch,567291570,135000,22241,4202,249528,155939,10501420,TRUE,FALSE,Italian
Xari,563259375,96285,25125,5849,333789,64153,8806962,TRUE,FALSE,French
Moonryde,560345775,151170,62165,3706,435272,396805,11535089,TRUE,FALSE,Italian
AustinShow,557194815,9735,186197,57236,1484520,712084,10521300,TRUE,TRUE,English
